                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9939,                 7.6372,                 4.3068,                      0,                      0,                      0,                      0,                 6.0347,                 6.8838,                  4.161,              0.0001112,              0.0001112,              0.0001112
                      2,                 5.3636,                 6.0335,                 4.1267,                      0,                      0,                      0,                      0,                 6.0424,                 6.9224,                 4.1834,             0.00022721,             0.00022721,             0.00022721
                      3,                 4.1584,                  4.388,                 3.5797,                      0,                      0,                      0,                      0,                 6.0518,                 6.9227,                 4.2297,             0.00034244,             0.00034244,             0.00034244
                      4,                 3.4003,                 3.6341,                 3.1312,                      0,                      0,                      0,                      0,                 6.0478,                  6.818,                 4.2518,             0.00045691,             0.00045691,             0.00045691
                      5,                 3.0794,                 3.2928,                 2.6813,                      0,                      0,                      0,                      0,                 5.2248,                 5.4761,                 3.5184,             0.00054866,             0.00054866,             0.00054866
                      6,                 2.8666,                 2.9927,                  2.527,                0.15334,                0.07083,                 0.0674,                0.01581,                 3.0861,                 3.2344,                 2.2908,             0.00054683,             0.00054683,             0.00054683
                      7,                 2.5571,                 2.8348,                 2.4128,                    0.5,                0.06954,                0.07037,                0.04811,                 2.4323,                  2.792,                 1.7837,             0.00054499,             0.00054499,             0.00054499
                      8,                 2.5121,                 2.6661,                 2.3419,                0.66186,                0.13841,                0.14923,                0.05068,                 2.8443,                 3.3146,                 1.9926,             0.00054316,             0.00054316,             0.00054316
                      9,                 2.3997,                  2.491,                 2.2583,                0.79099,                0.11983,                0.10267,                0.05325,                 2.3166,                 2.8889,                 1.7073,             0.00054132,             0.00054132,             0.00054132
                     10,                 2.3415,                 2.4292,                  2.154,                 0.6912,                0.18168,                 0.1493,                0.07993,                 2.0367,                 2.7438,                 1.5798,             0.00053949,             0.00053949,             0.00053949
                     11,                 2.0997,                 2.1538,                 2.0806,                0.80778,                0.25425,                0.20332,                0.08511,                  2.077,                   1.96,                 1.5978,             0.00053765,             0.00053765,             0.00053765
                     12,                 2.1213,                 2.2027,                 2.1302,                0.71293,                0.18801,                0.25798,                0.12668,                 1.8884,                  2.037,                 1.5352,             0.00053582,             0.00053582,             0.00053582
