Date,Destination,Destination Amount,Destination Currency,Fee Amount,Fee Currency,Id,Origin,Origin Amount,Origin Currency,Status,Type
Wed Mar 06 2024 02:35:11 GMT+0000,uphold,1.305,BAT,,,e2a0b5ed-72ab-43e3-878f-2bbf495d937c,uphold,1.305,BAT,completed,in
Wed Feb 07 2024 03:06:20 GMT+0000,uphold,1.995,BAT,,,96a47f43-36bf-4cc2-a27c-265811855685,uphold,1.995,BAT,completed,in
Thu Jan 04 2024 20:00:26 GMT+0000,uphold,2.6805,BAT,,,24f0f330-6404-4ad6-9d88-df6afdcbab42,uphold,2.6805,BAT,completed,in
Sat Dec 09 2023 18:20:13 GMT+0000,uphold,0.442294,BAT,,,b5cd75ce-6d3f-4895-9086-54a8683d3af4,uphold,0.442294,BAT,completed,in
Wed Nov 08 2023 02:09:18 GMT+0000,uphold,0.488,BAT,,,2c1ddd13-a5e5-4f8a-8550-1c3667b8c174,uphold,0.488,BAT,completed,in
Tue Oct 03 2023 20:44:01 GMT+0000,uphold,1.5625,BAT,,,2a7984e8-28bc-41c2-b7d2-9a98ae4bdc5d,uphold,1.5625,BAT,completed,in
Thu Sep 07 2023 02:54:30 GMT+0000,uphold,1.4325,BAT,,,5f9bd89f-4852-4807-99d4-e2019ec1da31,uphold,1.4325,BAT,completed,in
Fri Aug 04 2023 08:48:53 GMT+0000,uphold,2.625,BAT,,,f389b400-cfc5-4df9-b68e-93757443bc85,uphold,2.625,BAT,completed,in
Sat Jul 08 2023 05:59:04 GMT+0000,uphold,1.46,BAT,,,9c3ff4d2-3e18-42b2-a6db-9f8b2fc474c3,uphold,1.46,BAT,completed,in
Wed Jun 07 2023 22:31:18 GMT+0000,uphold,1.5225,BAT,,,6f587307-115c-4fb8-931c-0e6934f81599,uphold,1.5225,BAT,completed,in
Tue May 02 2023 00:15:38 GMT+0000,uphold,1.142500000000027648,BAT,,,595ed39d-e58c-4c2e-a506-d3565c2b46e3,uphold,1.142500000000027648,BAT,completed,in
Sat Apr 08 2023 00:13:10 GMT+0000,uphold,0.25,BAT,,,264eb796-0f6d-4b0f-9eab-935034816f49,uphold,0.25,BAT,completed,in
Tue Apr 04 2023 22:49:46 GMT+0000,uphold,1.645000000000014336,BAT,,,6d988b76-ebf2-43bc-868c-027043b064e0,uphold,1.645000000000014336,BAT,completed,in
Thu Mar 09 2023 05:06:29 GMT+0000,uphold,2.905999999999990272,BAT,,,0b83c694-3423-478b-a28c-439cbac3f4a9,uphold,2.905999999999990272,BAT,completed,in
Tue Feb 07 2023 17:58:46 GMT+0000,uphold,0.25,BAT,,,24df0c92-6f65-4fe9-8096-c598c442d414,uphold,0.25,BAT,completed,in
Tue Jan 31 2023 22:09:20 GMT+0000,uphold,6.01,USD,,,26d2a9ea-968a-486b-b50e-ed7a6aa9874e,uphold,24.53250000000054,BAT,completed,transfer
Mon Nov 07 2022 19:47:30 GMT+0000,uphold,0.25,BAT,,,8888d040-f1a7-40de-932c-a7df45c19b6e,uphold,0.25,BAT,completed,in
Thu Sep 08 2022 12:25:31 GMT+0000,uphold,0.25,BAT,,,6f30453a-8020-4226-bfae-9880a8e65b25,uphold,0.25,BAT,completed,in
Sat Aug 06 2022 09:15:19 GMT+0000,uphold,1.68000000000003,BAT,,,158c68f3-94c7-4ce1-8228-c28519fa94b6,uphold,1.68000000000003,BAT,completed,in
Fri Jul 08 2022 22:19:01 GMT+0000,uphold,3.60250000000051,BAT,,,f7c020c5-96da-481f-93f3-c75c70bdf0be,uphold,3.60250000000051,BAT,completed,in
Thu Jun 09 2022 09:38:44 GMT+0000,uphold,1.5,BAT,,,69db9d59-7d59-4845-942b-c283246778f9,uphold,1.5,BAT,completed,in
Thu Jun 09 2022 09:38:44 GMT+0000,uphold,2.75,BAT,,,a45aa70f-c3f0-4c0d-911b-68ea2a6ec8ca,uphold,2.75,BAT,completed,in
Thu Jun 09 2022 09:38:44 GMT+0000,uphold,1.5,BAT,,,c5673814-d736-4795-a5b3-31a869867e0e,uphold,1.5,BAT,completed,in
Thu Jun 09 2022 09:38:44 GMT+0000,uphold,0.5,BAT,,,4781bb47-1753-434f-87b5-16bce11b82ef,uphold,0.5,BAT,completed,in
Thu Jun 09 2022 09:38:44 GMT+0000,uphold,1.5,BAT,,,318f5f17-36db-4f08-8159-484bdc88a412,uphold,1.5,BAT,completed,in
Thu Jun 09 2022 09:38:44 GMT+0000,uphold,2.25,BAT,,,3ada8f54-ecbd-44df-9f30-1c184c0f0ae3,uphold,2.25,BAT,completed,in
Thu Jun 09 2022 09:38:44 GMT+0000,uphold,2,BAT,,,ce916ccb-59b7-47cc-9b66-3ef4aa643bfb,uphold,2,BAT,completed,in
Thu Jun 09 2022 09:38:43 GMT+0000,uphold,1,BAT,,,52c911ff-4a55-4163-b538-efcbb00948a3,uphold,1,BAT,completed,in
Thu Jun 09 2022 09:38:43 GMT+0000,uphold,3,BAT,,,859a2acd-4b69-4c8f-b27c-5f6717a0499d,uphold,3,BAT,completed,in
Thu Jun 09 2022 09:38:43 GMT+0000,uphold,1,BAT,,,1b75aa8c-be9b-424d-8199-3e09c3fa8643,uphold,1,BAT,completed,in
Thu Jun 09 2022 09:38:43 GMT+0000,uphold,1.25,BAT,,,3961ff71-e78d-4ac5-a275-be2ffe68f525,uphold,1.25,BAT,completed,in
Thu Jun 09 2022 09:38:43 GMT+0000,uphold,0.5,BAT,,,5e4782be-c44d-4af9-8eae-10ecc76daee1,uphold,0.5,BAT,completed,in
